# doping	kf	T	Mabs	Mabs_err	Chi	Chi_err	Tau
0.1	0.42	11.6333	0.242235	0.0254716	0.123219	0.0234855	12.0039
0.1	0.42	12	0.217647	0.0244278	0.102411	0.0207285	11.8345
0.1	0.5	1	0.266941	0.00805112	1.76206	0.0981827	1
0.1	0.5	1.36667	0.269647	0.011956	1.34162	0.106368	2.02606
0.1	0.5	1.73333	0.253059	0.0127334	0.948135	0.0856784	2.4598
0.1	0.5	2.1	0.240588	0.0140155	0.710426	0.075884	3.27017
0.1	0.5	2.46667	0.236	0.0159712	0.574484	0.0716288	4.5349
0.1	0.5	2.83333	0.253529	0.0211727	0.576542	0.0855476	6.53
0.1	0.5	3.2	0.232353	0.0164545	0.419468	0.0547808	5.33491
0.1	0.5	3.56667	0.234824	0.0213872	0.380846	0.0623283	8.93196
0.1	0.5	3.93333	0.214118	0.0156466	0.291842	0.0394444	5.1792
0.1	0.5	4.3	0.233294	0.0221281	0.322155	0.0561601	9.04466
0.1	0.5	4.66667	0.218353	0.023673	0.267767	0.054513	10.842
0.1	0.5	5.03333	0.211294	0.0164358	0.22733	0.0339452	5.95628
0.1	0.5	5.4	0.218118	0.0201577	0.230912	0.0399372	7.77196
0.1	0.5	5.76667	0.201529	0.0238815	0.184671	0.0407577	12.9446
0.1	0.5	6.13333	0.218588	0.0194234	0.201072	0.03309	7.11377
0.1	0.5	6.5	0.216941	0.0233447	0.188455	0.0374249	10.8549
0.1	0.5	6.86667	0.217529	0.0211061	0.17929	0.0331832	8.8557
0.1	0.5	7.23333	0.231529	0.0214656	0.18387	0.0323778	9.11086
0.1	0.5	7.6	0.207176	0.0223018	0.145124	0.0311352	10.4531
0.1	0.5	7.96667	0.213765	0.0196445	0.146255	0.0248823	8.44642
0.1	0.5	8.33333	0.229647	0.0205041	0.156187	0.0246612	8.74005
0.1	0.5	8.7	0.199059	0.0217129	0.120436	0.0259601	10.5317
0.1	0.5	9.06667	0.203882	0.0218751	0.115309	0.0226599	11.4426
0.1	0.5	9.43333	0.212353	0.0209775	0.121097	0.0226371	9.82528
0.1	0.5	9.8	0.213294	0.0226689	0.115934	0.0228695	11.3261
0.1	0.5	10.1667	0.199765	0.0218911	0.101381	0.0221754	11.5197
0.1	0.5	10.5333	0.222	0.0266241	0.12731	0.0288976	11.9033
0.1	0.5	10.9	0.202941	0.021045	0.096328	0.019092	10.6922
0.1	0.5	11.2667	0.208471	0.0201686	0.0974968	0.0175161	9.3003
0.1	0.5	11.6333	0.203176	0.0200984	0.0883918	0.0163627	9.13476
0.1	0.5	12	0.188588	0.0163593	0.0754234	0.0120228	7.51558
0.18	0.1	1	1	0	30	0	1
0.18	0.1	1.36667	1	0	21.9512	1.58882e-16	1
0.18	0.1	1.73333	1	0	17.3077	3.17764e-16	1
0.18	0.1	2.1	1	0	14.2857	7.94411e-17	1
0.18	0.1	2.46667	1	0	12.1622	7.94411e-17	1
0.18	0.1	2.83333	1	0	10.5882	7.94411e-17	1
0.18	0.1	3.2	1	0	9.375	0	1
0.18	0.1	3.56667	1	0	8.41121	7.94411e-17	1
0.18	0.1	3.93333	1	0	7.62712	7.94411e-17	1
0.18	0.1	4.3	1	0	6.97674	7.94411e-17	1
0.18	0.1	4.66667	0.999933	9.42338e-05	6.42774	0.00117069	1
0.18	0.1	5.03333	1	0	5.96026	0	1
0.18	0.1	5.4	0.999933	9.42338e-05	5.55484	0.0010117	1
0.18	0.1	5.76667	0.9998	0.000163054	5.2003	0.00163973	1
0.18	0.1	6.13333	0.999467	0.000265598	4.88626	0.00251109	1
0.18	0.1	6.5	0.999333	0.000296648	4.60944	0.00264655	1
0.18	0.1	6.86667	0.999067	0.000350289	4.36105	0.00295727	1
0.18	0.1	7.23333	0.9986	0.000427489	4.13624	0.00342772	1
0.18	0.1	7.6	0.998267	0.000510547	3.93421	0.00386033	1
0.18	0.1	7.96667	0.998067	0.000500302	3.75161	0.00363781	1
0.18	0.1	8.33333	0.995533	0.000780376	3.56899	0.00543693	1
0.18	0.1	8.7	0.996133	0.000757986	3.42265	0.00498594	1
0.18	0.1	9.06667	0.995067	0.000835459	3.27732	0.005573	1
0.18	0.1	9.43333	0.9934	0.000967007	3.13986	0.00588541	1
0.18	0.1	9.8	0.990733	0.0012062	3.00691	0.00706398	1
0.18	0.1	10.1667	0.988333	0.00126623	2.88473	0.00712551	1
0.18	0.1	10.5333	0.9864	0.00141228	2.77396	0.00769274	1
0.18	0.1	10.9	0.983867	0.00154182	2.66747	0.00799601	1
0.18	0.1	11.2667	0.982	0.0016141	2.57118	0.00815996	1
0.18	0.1	11.6333	0.977133	0.00181194	2.46644	0.00879174	1
0.18	0.1	12	0.9748	0.00205506	2.38077	0.00958821	1
0.18	0.18	1	1	0	30	0	1
0.18	0.18	1.36667	1	0	21.9512	1.58882e-16	1
0.18	0.18	1.73333	1	0	17.3077	3.17764e-16	1
0.18	0.18	2.1	1	0	14.2857	7.94411e-17	1
0.18	0.18	2.46667	0.999933	9.42338e-05	12.1606	0.00221481	1
0.18	0.18	2.83333	0.999933	9.42338e-05	10.5869	0.00192819	1
0.18	0.18	3.2	0.999667	0.000210291	9.36896	0.00381119	1
0.18	0.18	3.56667	0.999333	0.000296648	8.40037	0.00482063	1
0.18	0.18	3.93333	0.998733	0.00042832	7.60851	0.0062733	1
0.18	0.18	4.3	0.997667	0.000547925	6.94524	0.00749484	1
0.18	0.18	4.66667	0.995667	0.000770426	6.37488	0.00951438	1
0.18	0.18	5.03333	0.994267	0.000887463	5.89443	0.0101832	1
0.18	0.18	5.4	0.9894	0.00123547	5.44264	0.013055	1
0.18	0.18	5.76667	0.987133	0.00135892	5.07408	0.0134481	1
0.18	0.18	6.13333	0.980467	0.00170529	4.70903	0.0158727	1
0.18	0.18	6.5	0.977133	0.0018266	4.41415	0.0161499	1
0.18	0.18	6.86667	0.970067	0.00218967	4.12173	0.0176332	1
0.18	0.18	7.23333	0.9564	0.00265712	3.80816	0.0202363	1
0.18	0.18	7.6	0.9484	0.00284554	3.56646	0.0202964	1
0.18	0.18	7.96667	0.9424	0.0031177	3.36266	0.0209802	1
0.18	0.18	8.33333	0.9234	0.00408226	3.09959	0.0239586	1
0.18	0.18	8.7	0.914067	0.00402379	2.90895	0.0235141	1
0.18	0.18	9.06667	0.895867	0.00464773	2.69122	0.0254424	1
0.18	0.18	9.43333	0.875533	0.00562638	2.48807	0.0273347	1
0.18	0.18	9.8	0.851933	0.00633169	2.28314	0.0283563	1
0.18	0.18	10.1667	0.8288	0.00662076	2.09062	0.0284193	1
0.18	0.18	10.5333	0.792733	0.00770404	1.87419	0.0302881	1
0.18	0.18	10.9	0.7756	0.00829031	1.75023	0.0299839	1
0.18	0.18	11.2667	0.725667	0.00903021	1.51031	0.0303836	1
0.18	0.18	11.6333	0.6882	0.0105023	1.36271	0.0323176	1
0.18	0.18	12	0.632333	0.0113521	1.1607	0.0313321	1
0.18	0.26	1	1	0	30	0	1
0.18	0.26	1.36667	0.9998	0.000210629	21.9429	0.00869266	1
0.18	0.26	1.73333	0.998933	0.000374094	17.272	0.0125164	1
0.18	0.26	2.1	0.996267	0.000685494	14.1826	0.0189302	1
0.18	0.26	2.46667	0.993533	0.000931384	12.0106	0.0218471	1
0.18	0.26	2.83333	0.9888	0.00131242	10.3615	0.0263153	1
0.18	0.26	3.2	0.978467	0.00185394	8.9916	0.0325601	1
0.18	0.26	3.56667	0.964733	0.00231931	7.85063	0.0364004	1
0.18	0.26	3.93333	0.952533	0.0027985	6.95009	0.0385075	1
0.18	0.26	4.3	0.925733	0.00408249	6.03629	0.0472444	1
0.18	0.26	4.66667	0.893867	0.00508727	5.21671	0.0510799	1
0.18	0.26	5.03333	0.864733	0.00571949	4.55431	0.0516901	1
0.18	0.26	5.4	0.809467	0.00766396	3.8033	0.0576376	1
0.18	0.26	5.76667	0.750333	0.00903916	3.14085	0.0596784	1
0.18	0.26	6.13333	0.680733	0.0105782	2.54028	0.0599117	1
0.18	0.26	6.5	0.597267	0.0116525	1.9591	0.0584066	1
0.18	0.26	6.86667	0.565	0.0113017	1.67367	0.0514279	1
0.18	0.26	7.23333	0.496533	0.0111815	1.28105	0.0449363	1
0.18	0.26	7.6	0.442533	0.0120856	1.02765	0.0449026	1.13146
0.18	0.26	7.96667	0.435667	0.0119189	0.933013	0.0414067	1.22234
0.18	0.26	8.33333	0.379533	0.0116037	0.707634	0.0357817	1.27262
0.18	0.26	8.7	0.3524	0.0148984	0.616607	0.0414821	2.0288
0.18	0.26	9.06667	0.342867	0.0127528	0.54044	0.0333385	1.77626
0.18	0.26	9.43333	0.312467	0.0160387	0.456789	0.0391273	2.79148
0.18	0.26	9.8	0.306067	0.013172	0.419991	0.0316518	1.993
0.18	0.26	10.1667	0.288733	0.0139314	0.354701	0.0297426	2.62768
0.18	0.26	10.5333	0.291067	0.013497	0.351946	0.0272833	2.3443
0.18	0.26	10.9	0.264867	0.0151676	0.293294	0.0291573	3.1523
0.18	0.26	11.2667	0.245933	0.0168054	0.239811	0.0288733	4.54654
0.18	0.26	11.6333	0.259133	0.0187762	0.266556	0.0344076	4.83193
0.18	0.26	12	0.241667	0.0158597	0.217443	0.0248849	4.05848
0.18	0.34	1	0.945	0.00521398	27.198	0.252046	1
0.18	0.34	1.36667	0.964333	0.00208012	20.4603	0.0859856	1
0.18	0.34	1.73333	0.937067	0.00312533	15.2813	0.0969328	1
0.18	0.34	2.1	0.826467	0.00999973	10.472	0.171079	1
0.18	0.34	2.46667	0.6574	0.0133165	6.33378	0.179556	1
0.18	0.34	2.83333	0.567733	0.0132429	4.34122	0.148944	1
0.18	0.34	3.2	0.464733	0.0125525	2.75989	0.113309	1
0.18	0.34	3.56667	0.417933	0.0116209	2.03674	0.0886543	1
0.18	0.34	3.93333	0.354733	0.0106974	1.39491	0.0692241	1
0.18	0.34	4.3	0.3018	0.0102286	0.931216	0.0555208	1.2004
0.18	0.34	4.66667	0.3034	0.0125757	0.888773	0.0631941	1.70362
